Fasano comune,Fasano comune.1
,
Fasano – VedutaPanorama di Fasano,Fasano – VedutaPanorama di Fasano
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Francesco Zaccaria (PD) dal 28-6-2016 (2º mandato dal 14-10-2021)
Territorio,Territorio
Coordinate,40°50′N 17°22′E
Altitudine,111 m s.l.m.
Superficie,"131,72 km²"
Abitanti,38 758[1] (30-11-2025)
Densità,"294,25 ab./km²"
Frazioni,"Canale di Pirro, Laureto, Montalbano, Pezze di Greco, Pozzo Faceto, Savelletri, Selva di Fasano, Speziale, Torre Canne, Torre Spaccata"
Comuni confinanti,"Alberobello (BA), Cisternino, Locorotondo (BA), Monopoli (BA), Ostuni"
Altre informazioni,Altre informazioni
Cod. postale,72015
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,074007
Cod. catastale,D508
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 251 GG[3]"
Nome abitanti,fasanesi
Patrono,san Giovanni Battista e santa Maria di Pozzo Faceto
Giorno festivo,terza domenica di giugno
Cartografia,Cartografia
Fasano,Fasano
Fasano – MappaPosizione del comune di Fasano nella provincia di Brindisi,Fasano – MappaPosizione del comune di Fasano nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
