Provincia di Brindisi provincia,Provincia di Brindisi provincia.1
,
"Provincia di Brindisi – VedutaI resti delle colonne romane di Brindisi, poste al termine della Via Appia, 2006","Provincia di Brindisi – VedutaI resti delle colonne romane di Brindisi, poste al termine della Via Appia, 2006"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Amministrazione,Amministrazione
Capoluogo,Brindisi
Presidente,Toni Matarrelli (indipendente di centro-sinistra) dal 6-3-2022
Data di istituzione,2 gennaio 1927
Territorio,Territorio
Coordinate del capoluogo,40°38′18″N 17°56′45″E
Superficie,"1 861,12 km²"
Abitanti,374 151[1] (30-9-2025)
Densità,"201,04 ab./km²"
Comuni,20 comuni
Province confinanti,"Bari, Lecce, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,72100 (Brindisi) 72010 - 72029 (altri comuni)
Prefisso,"080, 0831"
Fuso orario,UTC+1
ISO 3166-2,IT-BR
Codice ISTAT,074
Targa,BR
PIL,"(nominale) 7 327,28 mln €[2](2021)"
PIL procapite,(nominale) 19 217 €[2](2021)
Cartografia,Cartografia
Provincia di Brindisi – Localizzazione,Provincia di Brindisi – Localizzazione
Provincia di Brindisi – MappaPosizione della provincia di Brindisi all'interno della Puglia,Provincia di Brindisi – MappaPosizione della provincia di Brindisi all'interno della Puglia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
