San Pietro Vernotico Comune,San Pietro Vernotico Comune.1
,
"San Pietro Vernotico – VedutaLa chiesa di San Pietro Apostolo, ubicata nell'omonima piazza","San Pietro Vernotico – VedutaLa chiesa di San Pietro Apostolo, ubicata nell'omonima piazza"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Maria Lucia Argentieri (Lista civica di centro-sinistra Domani Argentieri Sindaca) dal 15-5-2023
Territorio,Territorio
Coordinate,40°30′41.6″N 18°00′51.64″E
Altitudine,36 m s.l.m.
Superficie,"46,94[1] km²"
Abitanti,12 811[2] (30-11-2025)
Densità,"272,92 ab./km²"
Comuni confinanti,"Brindisi, Cellino San Marco, Squinzano (LE), Torchiarolo"
Altre informazioni,Altre informazioni
Cod. postale,72027
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074016
Cod. catastale,I119
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 123 GG[4]"
Nome abitanti,sanpietrani
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pietro Vernotico,San Pietro Vernotico
San Pietro Vernotico – MappaPosizione del comune di San Pietro Vernotico nella provincia di Brindisi,San Pietro Vernotico – MappaPosizione del comune di San Pietro Vernotico nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
