Oria comune,Oria comune.1
,
Oria – VedutaVista di Oria,Oria – VedutaVista di Oria
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Cosimo Ferretti (liste civiche) dal 15-5-2023
Territorio,Territorio
Coordinate,40°30′N 17°38′E
Altitudine,166 m s.l.m.
Superficie,"83,67 km²"
Abitanti,14 382[1] (30-11-2025)
Densità,"171,89 ab./km²"
Comuni confinanti,"Erchie, Francavilla Fontana, Latiano, Manduria (TA), Mesagne, Torre Santa Susanna"
Altre informazioni,Altre informazioni
Cod. postale,72024
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074011
Cod. catastale,G098
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 328 GG[3]"
Nome abitanti,oritani
Patrono,san Barsanofio
Giorno festivo,30 agosto
Cartografia,Cartografia
Oria,Oria
Oria – MappaPosizione del comune di Oria nella provincia di Brindisi,Oria – MappaPosizione del comune di Oria nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
