Ostuni comune,Ostuni comune.1
,
Ostuni – Veduta,Ostuni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Angelo Pomes (PD) dal 22-5-2023
Territorio,Territorio
Coordinate,40°43′56″N 17°34′40″E
Altitudine,218 m s.l.m.
Superficie,"225,56 km²"
Abitanti,29 811[1] (30-11-2025)
Densità,"132,16 ab./km²"
Comuni confinanti,"Carovigno, Ceglie Messapica, Cisternino, Fasano, Martina Franca (TA), San Michele Salentino, San Vito dei Normanni"
Altre informazioni,Altre informazioni
Cod. postale,72017
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074012
Cod. catastale,G187
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 259 GG[3]"
Nome abitanti,ostunesi
Patrono,sant'Oronzo
Giorno festivo,26 agosto
Cartografia,Cartografia
Ostuni,Ostuni
Ostuni – MappaPosizione del comune di Ostuni nella provincia di Brindisi,Ostuni – MappaPosizione del comune di Ostuni nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
