Francavilla Fontana comune,Francavilla Fontana comune.1
,
Francavilla Fontana – Veduta,Francavilla Fontana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Brindisi
Amministrazione,Amministrazione
Sindaco,Antonello Denuzzo (Indipendente di centro-sinistra) dal 27-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°31′53″N 17°35′09″E
Altitudine,142 m s.l.m.
Superficie,"177,94 km²"
Abitanti,34 365[1] (30-11-2025)
Densità,"193,13 ab./km²"
Frazioni,Bax Capece
Comuni confinanti,"Ceglie Messapica, Grottaglie (TA), Latiano, Manduria (TA), Oria, San Marzano di San Giuseppe (TA), San Michele Salentino, Sava (TA), Villa Castelli"
Altre informazioni,Altre informazioni
Cod. postale,72021
Prefisso,0831
Fuso orario,UTC+1
Codice ISTAT,074008
Cod. catastale,D761
Targa,BR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 286 GG[3]"
Nome abitanti,francavillesi
Patrono,Maria Santissima della Fontana
Giorno festivo,14 settembre
Cartografia,Cartografia
Francavilla Fontana,Francavilla Fontana
Francavilla Fontana – MappaPosizione del comune di Francavilla Fontana nella provincia di Brindisi,Francavilla Fontana – MappaPosizione del comune di Francavilla Fontana nella provincia di Brindisi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
