Ispica comune,Ispica comune.1
,
"Ispica – VedutaPanorama di Ispica, 2022","Ispica – VedutaPanorama di Ispica, 2022"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Innocenzo Leontini (FI) dal 06-10-2020
Territorio,Territorio
Coordinate,36°47′07″N 14°54′25″E
Altitudine,170 m s.l.m.
Superficie,"113,75 km²"
Abitanti,16 691[1] (30-11-2025)
Densità,"146,73 ab./km²"
Frazioni,"Marina Marza, Santa Maria del Focallo"
Comuni confinanti,"Modica, Noto (SR), Pachino (SR), Pozzallo, Rosolini (SR)"
Altre informazioni,Altre informazioni
Cod. postale,97014
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088005
Cod. catastale,E366
Targa,RG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 972 GG[3]"
Nome abitanti,ispicesi
Patrono,Beata Vergine del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Ispica,Ispica
Ispica – MappaPosizione del comune di Ispica nel libero consorzio comunale di Ragusa,Ispica – MappaPosizione del comune di Ispica nel libero consorzio comunale di Ragusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
