Scicli comune,Scicli comune.1
Comune di Scicli,Comune di Scicli
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Scicli – VedutaPanorama dalle curve di contrada Spana, 2014","Scicli – VedutaPanorama dalle curve di contrada Spana, 2014"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Mario Marino (indipendente di centro-destra) dal 27-6-2022
Data di istituzione,1271 avanti Cristo[1]
Territorio,Territorio
Coordinate,36°47′28.96″N 14°42′08.95″E
Altitudine,108 m s.l.m.
Superficie,"138,72 km²"
Abitanti,26 922[2] (30-11-2025)
Densità,"194,07 ab./km²"
Frazioni,"Bruca, Cava d'Aliga, Donnalucata, Playa Grande, Sampieri[3]"
Comuni confinanti,"Modica, Ragusa"
Altre informazioni,Altre informazioni
Cod. postale,97018
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088011
Cod. catastale,I535
Targa,RG
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona B, 899 GG[5]"
Nome abitanti,"sciclitano, sciclitani sciclitana, sciclitane"
Patrono,Madonna delle Milizie Beato Guglielmo Buccheri o da Noto
Giorno festivo,Rispettivamente: ultimo sabato di maggio secondo venerdì dopo la Domenica di Pasqua
PIL procapite,(nominale) € 17 500
Motto,"(LA) Siclis Urbs Inclita Et Victoriosa Armorum Sedes Quarta[1] (IT) Scicli, città inclita e vittoriosa, quarta sede delle armi"
Cartografia,Cartografia
Scicli,Scicli
Scicli – MappaPosizione del comune di Scicli nel Libero consorzio comunale di Ragusa,Scicli – MappaPosizione del comune di Scicli nel Libero consorzio comunale di Ragusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
