Modica comune,Modica comune.1
Città di Modica,Città di Modica
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Modica – VedutaDuomo di San Giorgio e panorama serale, 2020","Modica – VedutaDuomo di San Giorgio e panorama serale, 2020"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Maria Monisteri Caschetto (DC) dal 31-5-2023
Territorio,Territorio
Coordinate,36°52′02″N 14°45′41″E
Altitudine,296 m s.l.m.
Superficie,"292,37 km²"
Abitanti,53 601[1] (30-11-2025)
Densità,"183,33 ab./km²"
Frazioni,"Balata di Modica, Contrada Borgo Montesano, Frigintini, Maganuco, Marina di Modica, Zappulla"
Comuni confinanti,"Buscemi (SR), Giarratana, Ispica, Noto (SR), Palazzolo Acreide (SR), Pozzallo, Ragusa, Rosolini (SR), Scicli"
Altre informazioni,Altre informazioni
Cod. postale,97015 97010 (Marina di Modica)
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088006
Cod. catastale,F258
Targa,RG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 117 GG[3]"
Nome abitanti,modicani modicane
Patrono,Maria Santissima delle Grazie san Pietro san Giorgio Martire
Giorno festivo,Rispettivamente: 31 maggio 29 giugno 23 aprile
Soprannome,La città del cioccolato
Motto,"(LA) Comitatus Caput Mothuca Urbs Fidelis Atque Populosa (IT) Modica, capitale della Contea, città fedele e popolosa"
Cartografia,Cartografia
Modica,Modica
Modica – MappaPosizione del comune di Modica nel libero consorzio comunale di Ragusa,Modica – MappaPosizione del comune di Modica nel libero consorzio comunale di Ragusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
