Ragusa comune,Ragusa comune.1
Città di Ragusa,Città di Ragusa
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Ragusa – VedutaPanorama di Ragusa Ibla, 2022","Ragusa – VedutaPanorama di Ragusa Ibla, 2022"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Giuseppe Cassì (FI) dal 27-6-2018 (2º mandato dal 7-7-2023)
Territorio,Territorio
Coordinate,36°55′30″N 14°43′50″E
Altitudine,520 m s.l.m.
Superficie,"444,67 km²"
Abitanti,74 183[1] (30-11-2025)
Densità,"166,83 ab./km²"
Frazioni,"Donnafugata, Gatto Corvino, Marina di Ragusa, Punta Braccetto, Puntarazzi, San Giacomo"
Comuni confinanti,"Chiaramonte Gulfi, Comiso, Giarratana, Modica, Monterosso Almo, Rosolini (SR), Santa Croce Camerina, Scicli, Vittoria"
Altre informazioni,Altre informazioni
Cod. postale,97100
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088009
Cod. catastale,H163
Targa,RG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 324 GG[3]"
Nome abitanti,ragusani
Patrono,san Giovanni Battista san Giorgio Martire
Giorno festivo,29 agosto
PIL procapite,(nominale) €19.000[senza fonte]
Motto,(LA) Crevit Ragusia Hiblæ ruinis (IT) Crebbe Ragusa sulle rovine di Ibla
Cartografia,Cartografia
Ragusa,Ragusa
Ragusa – MappaPosizione del comune di Ragusa all'interno dell'omonimo libero consorzio comunale,Ragusa – MappaPosizione del comune di Ragusa all'interno dell'omonimo libero consorzio comunale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
