Santa Croce Camerina comune,Santa Croce Camerina comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
"Santa Croce Camerina – VedutaPanorama di Punta Secca, 2014","Santa Croce Camerina – VedutaPanorama di Punta Secca, 2014"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Ragusa
Amministrazione,Amministrazione
Sindaco,Giuseppe Dimartino (FdI) dal 12-6-2022
Data di istituzione,29 gennaio 1599
Territorio,Territorio
Coordinate,36°49′38″N 14°31′26″E
Altitudine,87 m s.l.m.
Superficie,"41,09 km²"
Abitanti,11 623[1] (30-11-2025)
Densità,"282,87 ab./km²"
Frazioni,"Casuzze, Kaukana, Punta Braccetto, Punta Secca"
Comuni confinanti,Ragusa
Altre informazioni,Altre informazioni
Cod. postale,97017
Prefisso,0932
Fuso orario,UTC+1
Codice ISTAT,088010
Cod. catastale,I178
Targa,RG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 877 GG[3]"
Nome abitanti,camarinensi santacrocesi
Patrono,santa Rosalia san Giuseppe
Giorno festivo,Rispettivamente: 4 settembre 19 marzo
Cartografia,Cartografia
Santa Croce Camerina,Santa Croce Camerina
Santa Croce Camerina – MappaPosizione del comune di Santa Croce Camerina nel libero consorzio comunale di Ragusa,Santa Croce Camerina – MappaPosizione del comune di Santa Croce Camerina nel libero consorzio comunale di Ragusa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
