Galgagnano comune,Galgagnano comune.1
,
Galgagnano – VedutaLa chiesa parrocchiale di San Sisinio,Galgagnano – VedutaLa chiesa parrocchiale di San Sisinio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Roberto Ciriello (lista civica Vivere Galgagnano) dal 10-6-2024
Territorio,Territorio
Coordinate,45°21′32″N 9°26′47″E
Altitudine,86 m s.l.m.
Superficie,"6,01 km²"
Abitanti,1 304[1] (30-11-2025)
Densità,"216,97 ab./km²"
Frazioni,Località Bellaria
Comuni confinanti,"Boffalora d'Adda, Cervignano d'Adda, Montanaso Lombardo, Mulazzano, Zelo Buon Persico"
Altre informazioni,Altre informazioni
Cod. postale,26832
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098027
Cod. catastale,D868
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,galgagnanesi
Patrono,san Sisinio
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Galgagnano,Galgagnano
Galgagnano – MappaPosizione del comune di Galgagnano nella provincia di Lodi,Galgagnano – MappaPosizione del comune di Galgagnano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
