Terranova dei Passerini comune,Terranova dei Passerini comune.1
,
Terranova dei Passerini – VedutaIl municipio,Terranova dei Passerini – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Luca Bertolotti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°11′58.23″N 9°40′33.53″E
Altitudine,63 m s.l.m.
Superficie,"11,26 km²"
Abitanti,954[1] (30-11-2025)
Densità,"84,72 ab./km²"
Frazioni,"Cassina dei Passerini, Cascinette, Cascinotti, Rovedaro, San Giacomo"
Comuni confinanti,"Bertonico, Casalpusterlengo, Castelgerundo, Castiglione d'Adda, Codogno, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26827
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098057
Cod. catastale,L125
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 573 GG[3]"
Nome abitanti,terranovesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Terranova dei Passerini,Terranova dei Passerini
Terranova dei Passerini – MappaPosizione del comune di Terranova dei Passerini nella provincia di Lodi,Terranova dei Passerini – MappaPosizione del comune di Terranova dei Passerini nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
