Graffignana comune,Graffignana comune.1
,
Graffignana – VedutaLa chiesa parrocchiale,Graffignana – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Dr. Giovanni Scietti (lista civica Graffignana 2000) dal 10-6-2024
Data di istituzione,27 giugno 2024
Territorio,Territorio
Coordinate,45°12′27″N 9°27′19″E
Altitudine,67 m s.l.m.
Superficie,"10,92 km²"
Abitanti,2 601[1] (30-11-2025)
Densità,"238,19 ab./km²"
Comuni confinanti,"Borghetto Lodigiano, Miradolo Terme (PV), San Colombano al Lambro (MI), Sant'Angelo Lodigiano, Villanova del Sillaro"
Altre informazioni,Altre informazioni
Cod. postale,26813
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098028
Cod. catastale,E127
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,graffignanini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Graffignana,Graffignana
Graffignana – MappaPosizione del comune di Graffignana nella provincia di Lodi,Graffignana – MappaPosizione del comune di Graffignana nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
