Senna Lodigiana comune,Senna Lodigiana comune.1
,
Senna Lodigiana – Veduta,Senna Lodigiana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Gianmario Molinari (Lista Civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°09′09″N 9°35′42″E
Altitudine,60 m s.l.m.
Superficie,"27,02 km²"
Abitanti,1 822[1] (30-11-2025)
Densità,"67,43 ab./km²"
Frazioni,"Corte Sant'Andrea, Guzzafame, Mirabello"
Comuni confinanti,"Calendasco (PC), Orio Litta, Ospedaletto Lodigiano, Somaglia"
Altre informazioni,Altre informazioni
Cod. postale,26856
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098053
Cod. catastale,I612
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,sennesi
Patrono,san Germano d'Auxerre
Giorno festivo,31 luglio
Cartografia,Cartografia
Senna Lodigiana,Senna Lodigiana
Senna Lodigiana – MappaPosizione del comune di Senna Lodigiana nella provincia di Lodi,Senna Lodigiana – MappaPosizione del comune di Senna Lodigiana nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
