Fombio comune,Fombio comune.1
,
Fombio – Veduta,Fombio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Davide Passerini dal 26-5-2019
Territorio,Territorio
Coordinate,45°08′29″N 9°41′20″E
Altitudine,56 m s.l.m.
Superficie,"7,4 km²"
Abitanti,2 275[1] (30-11-2025)
Densità,"307,43 ab./km²"
Frazioni,Retegno
Comuni confinanti,"Codogno, Guardamiglio, San Fiorano, San Rocco al Porto, Santo Stefano Lodigiano, Somaglia"
Altre informazioni,Altre informazioni
Cod. postale,26861
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098026
Cod. catastale,D660
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,fombiesi
Patrono,Madonna del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Fombio,Fombio
Fombio – MappaPosizione del comune di Fombio nella provincia di Lodi,Fombio – MappaPosizione del comune di Fombio nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
