Tavazzano con Villavesco comune,Tavazzano con Villavesco comune.1
,
Tavazzano con Villavesco – VedutaIl municipio,Tavazzano con Villavesco – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Giuseppe Russo (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°19′42″N 9°24′27″E
Altitudine,82 m s.l.m.
Superficie,"16,07 km²"
Abitanti,6 112[1] (30-11-2025)
Densità,"380,34 ab./km²"
Frazioni,"Bagnolo, Cà de' Zecchi, Modignano, Muzza, Pezzolo, Villavesco"
Comuni confinanti,"Casalmaiocco, Lodi, Lodi Vecchio, Montanaso Lombardo, Mulazzano, San Zenone al Lambro (MI), Sordio"
Altre informazioni,Altre informazioni
Cod. postale,26838
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098056
Cod. catastale,F260
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,tavazzanesi o villaveschini
Patrono,san Giovanni Battista
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Tavazzano con Villavesco,Tavazzano con Villavesco
Tavazzano con Villavesco – MappaPosizione del comune di Tavazzano con Villavesco nella provincia di Lodi,Tavazzano con Villavesco – MappaPosizione del comune di Tavazzano con Villavesco nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
