Salerano sul Lambro comune,Salerano sul Lambro comune.1
,
Salerano sul Lambro – VedutaPiazza Maggiore,Salerano sul Lambro – VedutaPiazza Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Stefania Marcolin (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°17′51″N 9°23′10″E
Altitudine,77 m s.l.m.
Superficie,"4,38 km²"
Abitanti,2 700[1] (30-11-2025)
Densità,"616,44 ab./km²"
Comuni confinanti,"Borgo San Giovanni, Casaletto Lodigiano, Caselle Lurani, Castiraga Vidardo, Lodi Vecchio, San Zenone al Lambro (MI), Tavazzano con Villavesco"
Altre informazioni,Altre informazioni
Cod. postale,26857
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098046
Cod. catastale,H701
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,saleranini
Patrono,Purificazione di Maria
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Salerano sul Lambro,Salerano sul Lambro
Salerano sul Lambro – MappaPosizione del comune di Salerano sul Lambro nella provincia di Lodi,Salerano sul Lambro – MappaPosizione del comune di Salerano sul Lambro nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
