Livraga comune,Livraga comune.1
,
Livraga – VedutaLa chiesa parrocchiale,Livraga – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Giuseppe Ferrari (lista civica Insieme per Livraga) dal 10-6-2024
Territorio,Territorio
Coordinate,45°11′36″N 9°32′51″E
Altitudine,67 m s.l.m.
Superficie,"12,37 km²"
Abitanti,2 539[1] (30-11-2025)
Densità,"205,25 ab./km²"
Frazioni,"Ca' de' Mazzi, Fiandra, Pantigliate, San Lazzaro"
Comuni confinanti,"Brembio, Borghetto Lodigiano, Orio Litta, Ospedaletto Lodigiano, San Colombano al Lambro (MI)"
Altre informazioni,Altre informazioni
Cod. postale,26814
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098030
Cod. catastale,E627
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 579 GG[3]"
Nome abitanti,livraghini
Patrono,san Gennaro
Giorno festivo,prima domenica di settembre
PIL,"(nominale) 895,56 Mld $"
PIL procapite,(nominale) 141533 $
Cartografia,Cartografia
Livraga,Livraga
Livraga – MappaPosizione del comune di Livraga nella provincia di Lodi,Livraga – MappaPosizione del comune di Livraga nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
