Castelgerundo comune,Castelgerundo comune.1
,
"Castelgerundo – VedutaTratto del percorso ciclopedonale ""Dorsale dell'Adda"" in Castelgerundo","Castelgerundo – VedutaTratto del percorso ciclopedonale ""Dorsale dell'Adda"" in Castelgerundo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Capoluogo,Camairago
Sindaco,Daniele Saltarelli (lista civica) dal 10-6-2018 (2º mandato dal 15-5-2023)
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate del capoluogo,45°12′05.89″N 9°44′27.95″E
Superficie,"19,87[1] km²"
Abitanti,1 449[2] (30-11-2025)
Densità,"72,92 ab./km²"
Frazioni,"Bosco Valentino, Cavacurta, Mulazzana"
Comuni confinanti,"Castiglione d'Adda, Codogno, Formigara (CR), Maleo, Pizzighettone (CR), Terranova dei Passerini"
Altre informazioni,Altre informazioni
Cod. postale,26844
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098062
Cod. catastale,M393
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[3]
Patrono,san Carlo Borromeo
Cartografia,Cartografia
Camairago,Camairago
Castelgerundo – MappaPosizione del comune di Castelgerundo nella provincia di Lodi,Castelgerundo – MappaPosizione del comune di Castelgerundo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
