Crespiatica comune,Crespiatica comune.1
,
Crespiatica – Veduta,Crespiatica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Carlo Alberto Francesco Rizzi (lista civica di centro-destra) dal 26-5-2019
Territorio,Territorio
Coordinate,45°21′27″N 9°34′34″E
Altitudine,75 m s.l.m.
Superficie,"7,03 km²"
Abitanti,2 206[1] (30-11-2025)
Densità,"313,8 ab./km²"
Frazioni,"Benzona, Tormo"
Comuni confinanti,"Abbadia Cerreto, Bagnolo Cremasco (CR), Corte Palasio, Dovera (CR), Monte Cremasco (CR), Vaiano Cremasco (CR)"
Altre informazioni,Altre informazioni
Cod. postale,26835
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098025
Cod. catastale,D159
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,crespiatichesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Crespiatica,Crespiatica
Crespiatica – MappaPosizione del comune di Crespiatica nella provincia di Lodi,Crespiatica – MappaPosizione del comune di Crespiatica nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
