Mairago comune,Mairago comune.1
,
Mairago – VedutaParrocchiale di San Fermo,Mairago – VedutaParrocchiale di San Fermo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Davide Tei (lista civica Solidarietà e sviluppo) dal 27-5-2024
Territorio,Territorio
Coordinate,45°15′10″N 9°34′46″E
Altitudine,69 m s.l.m.
Superficie,"11,25 km²"
Abitanti,1 371[1] (30-11-2025)
Densità,"121,87 ab./km²"
Frazioni,Basiasco
Comuni confinanti,"Brembio, Cavenago d'Adda, Ossago Lodigiano, Secugnago, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26825
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098034
Cod. catastale,E840
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 579 GG[3]"
Nome abitanti,mairaghini
Patrono,San Fermo
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Mairago,Mairago
Mairago – MappaPosizione del comune di Mairago nella provincia di Lodi,Mairago – MappaPosizione del comune di Mairago nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
