Ossago Lodigiano comune,Ossago Lodigiano comune.1
,
Ossago Lodigiano – Veduta,Ossago Lodigiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Luigi Granata (lista civica Insieme per Ossago) dal 26-5-2019
Territorio,Territorio
Coordinate,45°14′48″N 9°32′17″E
Altitudine,71 m s.l.m.
Superficie,"11,53 km²"
Abitanti,1 414[1] (30-11-2025)
Densità,"122,64 ab./km²"
Frazioni,vedi
Comuni confinanti,"Borghetto Lodigiano, Brembio, Cavenago d'Adda, Mairago, Massalengo, San Martino in Strada, Villanova del Sillaro"
Altre informazioni,Altre informazioni
Cod. postale,26816
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098044
Cod. catastale,G171
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 524 GG[3]"
Nome abitanti,ossaghini
Patrono,santi Gervaso e Protasio
Giorno festivo,quarta domenica di settembre
Cartografia,Cartografia
Ossago Lodigiano,Ossago Lodigiano
Ossago Lodigiano – MappaPosizione del comune di Ossago Lodigiano nella provincia di Lodi,Ossago Lodigiano – MappaPosizione del comune di Ossago Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
