Caselle Landi comune,Caselle Landi comune.1
,
"Caselle Landi – VedutaLa chiesa parrocchiale, in piazza mons. Domenico Mezzadri","Caselle Landi – VedutaLa chiesa parrocchiale, in piazza mons. Domenico Mezzadri"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Piero Luigi Bianchi (lista civica Uniti per Caselle Landi) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°06′13″N 9°47′48″E
Altitudine,44 m s.l.m.
Superficie,"26,01 km²"
Abitanti,1 434[1] (30-11-2025)
Densità,"55,13 ab./km²"
Frazioni,"Bruzzelle, Gerrone, Mezzanino, Mezzanone"
Comuni confinanti,"Caorso (PC), Castelnuovo Bocca d'Adda, Corno Giovine, Cornovecchio, Meleti, Piacenza (PC), Santo Stefano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26842
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098011
Cod. catastale,B961
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,casellesi
Patrono,san Savino di Piacenza
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Caselle Landi,Caselle Landi
Caselle Landi – MappaPosizione del comune di Caselle Landi nella provincia di Lodi,Caselle Landi – MappaPosizione del comune di Caselle Landi nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
