Cavenago d'Adda comune,Cavenago d'Adda comune.1
,
Cavenago d'Adda – VedutaLa chiesa parrocchiale,Cavenago d'Adda – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Rinaldo Tribbia (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°17′03.19″N 9°36′05.58″E
Altitudine,73 m s.l.m.
Superficie,"16,1 km²"
Abitanti,2 132[1] (30-11-2025)
Densità,"132,42 ab./km²"
Frazioni,"Caviaga, Muzza Piacentina, Soltarico"
Comuni confinanti,"Abbadia Cerreto, Casaletto Ceredano (CR), Corte Palasio, Credera Rubbiano (CR), Mairago, Ossago Lodigiano, San Martino in Strada, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26824
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098017
Cod. catastale,C394
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 629 GG[3]"
Nome abitanti,cavenaghini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Cavenago d'Adda,Cavenago d'Adda
Cavenago d'Adda – MappaPosizione del comune di Cavenago d'Adda nella provincia di Lodi,Cavenago d'Adda – MappaPosizione del comune di Cavenago d'Adda nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
