Marudo comune,Marudo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Selene Pravettoni (lista civica Civica per Marudo) dal 10-06-2024
Territorio,Territorio
Coordinate,45°15′14″N 9°22′42″E
Altitudine,77 m s.l.m.
Superficie,"4,2 km²"
Abitanti,1 758[1] (30-11-2025)
Densità,"418,57 ab./km²"
Comuni confinanti,"Caselle Lurani, Castiraga Vidardo, Sant'Angelo Lodigiano, Valera Fratta, Villanterio (PV)"
Altre informazioni,Altre informazioni
Cod. postale,26866
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098036
Cod. catastale,E994
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,marudesi
Patrono,santi Gervaso e Protasio
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Marudo,Marudo
Marudo – MappaPosizione del comune di Marudo nella provincia di Lodi,Marudo – MappaPosizione del comune di Marudo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
