Lodi comune,Lodi comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Lodi – VedutaPiazza della Vittoria,Lodi – VedutaPiazza della Vittoria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Andrea Furegato (PD) dal 15-6-2022[1]
Territorio,Territorio
Coordinate,45°19′N 9°30′E
Altitudine,87 m s.l.m.
Superficie,"41,38 km²"
Abitanti,45 630[2] (30-11-2025)
Densità,"1 102,71 ab./km²"
Frazioni,"Fontana, Olmo, Riolo, San Grato"
Comuni confinanti,"Boffalora d'Adda, Cornegliano Laudense, Corte Palasio, Dovera (CR), Lodi Vecchio, Montanaso Lombardo, Pieve Fissiraga, San Martino in Strada, Tavazzano con Villavesco"
Altre informazioni,Altre informazioni
Cod. postale,26900
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098031
Cod. catastale,E648
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 592 GG[4]"
Nome abitanti,lodigiani o laudensi
Patrono,san Bassiano
Giorno festivo,19 gennaio
Cartografia,Cartografia
Lodi,Lodi
Lodi – MappaPosizione del comune di Lodi nell'omonima provincia,Lodi – MappaPosizione del comune di Lodi nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
