Merlino comune,Merlino comune.1
,
Merlino – VedutaLa chiesa parrocchiale,Merlino – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Giovanni Fazzi dal 10/2021
Territorio,Territorio
Coordinate,45°26′03″N 9°25′51″E
Altitudine,101 m s.l.m.
Superficie,"10,73 km²"
Abitanti,1 655[1] (30-11-2025)
Densità,"154,24 ab./km²"
Frazioni,"Marzano, Vaiano"
Comuni confinanti,"Comazzo, Paullo (MI), Rivolta d'Adda (CR), Settala (MI), Spino d'Adda (CR), Zelo Buon Persico"
Altre informazioni,Altre informazioni
Cod. postale,26833
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,098039
Cod. catastale,F149
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,merlinesi
Patrono,santi Stefano e Zenone
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Merlino,Merlino
Merlino – MappaPosizione del comune di Merlino nella provincia di Lodi,Merlino – MappaPosizione del comune di Merlino nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
