Montanaso Lombardo comune,Montanaso Lombardo comune.1
,
Montanaso Lombardo – Veduta,Montanaso Lombardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Luca Ferrari (lista civica Montanaso insieme) dal 26-5-2019
Territorio,Territorio
Coordinate,45°20′12″N 9°28′11″E
Altitudine,83 m s.l.m.
Superficie,"9,52 km²"
Abitanti,2 257[1] (30-11-2025)
Densità,"237,08 ab./km²"
Frazioni,Arcagna
Comuni confinanti,"Boffalora d'Adda, Galgagnano, Lodi, Mulazzano, Tavazzano con Villavesco"
Altre informazioni,Altre informazioni
Cod. postale,26836
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098040
Cod. catastale,F423
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,montanasini
Patrono,san Giorgio
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Montanaso Lombardo,Montanaso Lombardo
Montanaso Lombardo – MappaPosizione del comune di Montanaso Lombardo nella provincia di Lodi,Montanaso Lombardo – MappaPosizione del comune di Montanaso Lombardo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
