Lodi Vecchio comune,Lodi Vecchio comune.1
,
"Lodi Vecchio – VedutaPiazza Vittorio Emanuele, centro della città","Lodi Vecchio – VedutaPiazza Vittorio Emanuele, centro della città"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Lino Osvaldo Felissari (lista civica di centro-sinistra Vivere Lodi Vecchio) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°18′12″N 9°25′07″E
Altitudine,82 m s.l.m.
Superficie,"16,45 km²"
Abitanti,7 722[1] (30-11-2025)
Densità,"469,42 ab./km²"
Comuni confinanti,"Borgo San Giovanni, Cornegliano Laudense, Lodi, Pieve Fissiraga, Salerano sul Lambro, San Zenone al Lambro (MI), Tavazzano con Villavesco"
Altre informazioni,Altre informazioni
Cod. postale,26855
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098032
Cod. catastale,E651
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,(IT) lodivecchini o ludevegini (LMO) ludevegìn
Patrono,san Pietro apostolo
Giorno festivo,IV domenica di ottobre
Soprannome,"Stalingrado del Lodigiano[4] [5][6], curada[7]."
Motto,(LA) Laus Pompeia fui
Cartografia,Cartografia
Lodi Vecchio,Lodi Vecchio
Lodi Vecchio – MappaPosizione del comune di Lodi Vecchio nella provincia di Lodi,Lodi Vecchio – MappaPosizione del comune di Lodi Vecchio nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
