Villanova del Sillaro comune,Villanova del Sillaro comune.1
,
Villanova del Sillaro – VedutaChiesa parrocchiale ed ex Palazzo Abbaziale,Villanova del Sillaro – VedutaChiesa parrocchiale ed ex Palazzo Abbaziale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Aldo Castoldi (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,45°14′20″N 9°28′58″E
Altitudine,69 m s.l.m.
Superficie,"13,5 km²"
Abitanti,1 902[1] (30-11-2025)
Densità,"140,89 ab./km²"
Frazioni,Bargano
Comuni confinanti,"Borghetto Lodigiano, Graffignana, Massalengo, Ossago Lodigiano, Pieve Fissiraga, Sant'Angelo Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26818
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098060
Cod. catastale,L977
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 551 GG[3]"
Nome abitanti,villanovesi
Patrono,santi Nicolò e Michele
Giorno festivo,ultima domenica di maggio
Cartografia,Cartografia
Villanova del Sillaro,Villanova del Sillaro
Villanova del Sillaro – MappaPosizione del comune di Villanova del Sillaro nella provincia di Lodi,Villanova del Sillaro – MappaPosizione del comune di Villanova del Sillaro nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
