Ospedaletto Lodigiano comune,Ospedaletto Lodigiano comune.1
,
Ospedaletto Lodigiano – VedutaVeduta via Balbi,Ospedaletto Lodigiano – VedutaVeduta via Balbi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Eugenio Ferioli (lista civica Cittadini & Territorio) dal 26-5-2019
Territorio,Territorio
Coordinate,45°10′11″N 9°34′47″E
Altitudine,64 m s.l.m.
Superficie,"8,5 km²"
Abitanti,2 006[1] (30-11-2025)
Densità,236 ab./km²
Comuni confinanti,"Brembio, Casalpusterlengo, Livraga, Orio Litta, Senna Lodigiana, Somaglia"
Altre informazioni,Altre informazioni
Cod. postale,26864
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098043
Cod. catastale,G166
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,ospedalettesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ospedaletto Lodigiano,Ospedaletto Lodigiano
Ospedaletto Lodigiano – MappaPosizione del comune di Ospedaletto Lodigiano nella provincia di Lodi,Ospedaletto Lodigiano – MappaPosizione del comune di Ospedaletto Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
