Mulazzano comune,Mulazzano comune.1
,
Mulazzano – VedutaPiazza della chiesa,Mulazzano – VedutaPiazza della chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Michael Gola (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°22′24.57″N 9°23′52.77″E
Altitudine,91 m s.l.m.
Superficie,"15,58 km²"
Abitanti,5 847[1] (30-11-2025)
Densità,"375,29 ab./km²"
Frazioni,vedi
Comuni confinanti,"Casalmaiocco, Cervignano d'Adda, Dresano (MI), Galgagnano, Montanaso Lombardo, Paullo (MI), Tavazzano con Villavesco, Tribiano (MI), Zelo Buon Persico"
Altre informazioni,Altre informazioni
Cod. postale,26837
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,098041
Cod. catastale,F801
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,mulazzanesi
Patrono,Santo Stefano protomartire
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Mulazzano,Mulazzano
Mulazzano – MappaPosizione del comune di Mulazzano nella provincia di Lodi,Mulazzano – MappaPosizione del comune di Mulazzano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
