San Fiorano comune,San Fiorano comune.1
,
San Fiorano – Veduta,San Fiorano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Mario Ghidelli (lista civica Noi con voi) dal 25-5-2014
Territorio,Territorio
Coordinate,45°08′14″N 9°43′24″E
Altitudine,56 m s.l.m.
Superficie,"8,97 km²"
Abitanti,1 894[1] (30-11-2025)
Densità,"211,15 ab./km²"
Frazioni,"Campone, Divizia, Lazzaretto, Regone"
Comuni confinanti,"Codogno, Fombio, Maleo, Santo Stefano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26848
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098047
Cod. catastale,H844
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,sanfioranesi
Patrono,san Floriano
Giorno festivo,4 maggio
Cartografia,Cartografia
San Fiorano,San Fiorano
San Fiorano – MappaPosizione del comune di San Fiorano nella provincia di Lodi,San Fiorano – MappaPosizione del comune di San Fiorano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
