Maccastorna comune,Maccastorna comune.1
,
Maccastorna – Veduta,Maccastorna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Fabrizio Santantonio (lista civica) dal 26-5-2014 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°08′51″N 9°51′20″E
Altitudine,45 m s.l.m.
Superficie,"5,75 km²"
Abitanti,70[1] (30-11-2025)
Densità,"12,17 ab./km²"
Frazioni,Cavo
Comuni confinanti,"Castelnuovo Bocca d'Adda, Crotta d'Adda (CR), Meleti"
Altre informazioni,Altre informazioni
Cod. postale,26843
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098033
Cod. catastale,E777
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,maccastornesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Maccastorna,Maccastorna
Maccastorna – MappaPosizione del comune di Maccastorna nella provincia di Lodi,Maccastorna – MappaPosizione del comune di Maccastorna nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
