Castiraga Vidardo comune,Castiraga Vidardo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,"Emma Perfetti (lista civica ""Progetto Vidardo"") dal 25-5-2014"
Data di istituzione,1902
Territorio,Territorio
Coordinate,45°15′45.23″N 9°23′58.16″E
Altitudine,74 m s.l.m.
Superficie,"5,04 km²"
Abitanti,3 043[1] (30-11-2025)
Densità,"603,77 ab./km²"
Comuni confinanti,"Borgo San Giovanni, Caselle Lurani, Marudo, Salerano sul Lambro, Sant'Angelo Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26866
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098015
Cod. catastale,C329
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,vidardesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Castiraga Vidardo,Castiraga Vidardo
Castiraga Vidardo – MappaPosizione del comune di Castiraga Vidardo nella provincia di Lodi,Castiraga Vidardo – MappaPosizione del comune di Castiraga Vidardo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
