Casalmaiocco comune,Casalmaiocco comune.1
,
Casalmaiocco – Veduta,Casalmaiocco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Marco Vighi (lista civica Con noi per Casalmaiocco) dal 25-5-2014
Territorio,Territorio
Coordinate,45°21′17″N 9°22′31″E
Altitudine,88 m s.l.m.
Superficie,"4,71 km²"
Abitanti,3 207[1] (30-11-2025)
Densità,"680,89 ab./km²"
Frazioni,"Madonnina, Cologno"
Comuni confinanti,"Dresano (MI), Mulazzano, Sordio, Tavazzano con Villavesco, Vizzolo Predabissi (MI)"
Altre informazioni,Altre informazioni
Cod. postale,26831
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,098009
Cod. catastale,B899
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,casalini
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Casalmaiocco,Casalmaiocco
Casalmaiocco – MappaPosizione del comune di Casalmaiocco nella provincia di Lodi,Casalmaiocco – MappaPosizione del comune di Casalmaiocco nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
