Corno Giovine comune,Corno Giovine comune.1
,
Corno Giovine – Veduta,Corno Giovine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Gianpiero Tansini (lista civica Impegno comune Corno Giovine) dal 27-5-2019
Territorio,Territorio
Coordinate,45°08′04″N 9°45′39″E
Altitudine,50 m s.l.m.
Superficie,"9,94 km²"
Abitanti,1 150[1] (30-11-2025)
Densità,"115,69 ab./km²"
Frazioni,Mezzano Passone
Comuni confinanti,"Caselle Landi, Cornovecchio, Maleo, Piacenza (PC), Santo Stefano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26846
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098022
Cod. catastale,D028
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,cornogiovinesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Corno Giovine,Corno Giovine
Corno Giovine – MappaPosizione del comune di Corno Giovine nella provincia di Lodi,Corno Giovine – MappaPosizione del comune di Corno Giovine nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
