Santo Stefano Lodigiano comune,Santo Stefano Lodigiano comune.1
,
Santo Stefano Lodigiano – VedutaPanorama,Santo Stefano Lodigiano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Paola Rossi (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,45°07′10″N 9°44′11″E
Altitudine,48 m s.l.m.
Superficie,"10,53 km²"
Abitanti,1 849[1] (30-11-2025)
Densità,"175,59 ab./km²"
Comuni confinanti,"Caselle Landi, Corno Giovine, Fombio, Maleo, Piacenza (PC), San Fiorano, San Rocco al Porto"
Altre informazioni,Altre informazioni
Cod. postale,26849
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098051
Cod. catastale,I362
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,sanstefanesi
Patrono,sant'Ignazio di Loyola
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Santo Stefano Lodigiano,Santo Stefano Lodigiano
Santo Stefano Lodigiano – MappaPosizione del comune di Santo Stefano Lodigiano nella provincia di Lodi,Santo Stefano Lodigiano – MappaPosizione del comune di Santo Stefano Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
