Castiglione d'Adda comune,Castiglione d'Adda comune.1
,
Castiglione d'Adda – VedutaLa chiesa parrocchiale,Castiglione d'Adda – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Costantino Pesatori (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,45°13′11″N 9°41′43″E
Altitudine,60 m s.l.m.
Superficie,"12,98 km²"
Abitanti,4 515[1] (30-11-2025)
Densità,"347,84 ab./km²"
Comuni confinanti,"Bertonico, Castelgerundo, Formigara (CR), Gombito (CR), Montodine (CR), Ripalta Arpina (CR), Terranova dei Passerini"
Altre informazioni,Altre informazioni
Cod. postale,26823
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098014
Cod. catastale,C304
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 549 GG[3]"
Nome abitanti,castiglionesi
Patrono,Maria Santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Castiglione d'Adda,Castiglione d'Adda
Castiglione d'Adda – MappaPosizione del comune di Castiglione d'Adda nella provincia di Lodi,Castiglione d'Adda – MappaPosizione del comune di Castiglione d'Adda nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
