Secugnago comune,Secugnago comune.1
,
Secugnago – VedutaPiazza Matteotti,Secugnago – VedutaPiazza Matteotti
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Mauro Salvalaglio (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°14′02″N 9°35′40″E
Altitudine,68 m s.l.m.
Superficie,"6,75 km²"
Abitanti,2 003[1] (30-11-2025)
Densità,"296,74 ab./km²"
Comuni confinanti,"Brembio, Casalpusterlengo, Mairago, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26826
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098052
Cod. catastale,I561
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 579 GG[3]"
Nome abitanti,secugnaghesi
Patrono,san Gaudenzio di Novara
Giorno festivo,22 gennaio
Cartografia,Cartografia
Secugnago,Secugnago
Secugnago – MappaPosizione del comune di Secugnago nella provincia di Lodi,Secugnago – MappaPosizione del comune di Secugnago nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
