Boffalora d'Adda comune,Boffalora d'Adda comune.1
,
Boffalora d'Adda – VedutaLa chiesa parrocchiale,Boffalora d'Adda – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Livio Bossi (lista civica di centro-destra) dall'8-6-2009
Territorio,Territorio
Coordinate,45°21′34.75″N 9°29′39.78″E
Altitudine,78 m s.l.m.
Superficie,"8,13 km²"
Abitanti,1 733[1] (30-11-2025)
Densità,"213,16 ab./km²"
Comuni confinanti,"Dovera (CR), Galgagnano, Lodi, Montanaso Lombardo, Spino d'Adda (CR), Zelo Buon Persico"
Altre informazioni,Altre informazioni
Cod. postale,26811
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098003
Cod. catastale,A919
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,boffaloresi
Patrono,Natività di Maria
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Boffalora d'Adda,Boffalora d'Adda
Boffalora d'Adda – MappaPosizione del comune di Boffalora d'Adda nella provincia di Lodi,Boffalora d'Adda – MappaPosizione del comune di Boffalora d'Adda nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
