Bertonico comune,Bertonico comune.1
,
"Bertonico – VedutaPiazza Dante Alighieri, centro del paese, con la chiesa parrocchiale di San Clemente","Bertonico – VedutaPiazza Dante Alighieri, centro del paese, con la chiesa parrocchiale di San Clemente"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Angelo Chiesa (lista civica) dal 2019
Territorio,Territorio
Coordinate,45°14′02″N 9°40′09″E
Altitudine,63 m s.l.m.
Superficie,"20,83 km²"
Abitanti,1 081[1] (30-11-2025)
Densità,"51,9 ab./km²"
Frazioni,"Brusada, Campolungo, Colombina, Monticelli"
Comuni confinanti,"Castiglione d'Adda, Gombito (CR), Montodine (CR), Moscazzano (CR), Ripalta Arpina (CR), Terranova dei Passerini, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26821
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098002
Cod. catastale,A811
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 549 GG[3]"
Nome abitanti,bertonicensi
Patrono,san Clemente Papa
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Bertonico,Bertonico
Bertonico – MappaPosizione del comune di Bertonico nella provincia di Lodi,Bertonico – MappaPosizione del comune di Bertonico nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
