Maleo comune,Maleo comune.1
,
Maleo – Veduta,Maleo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Dante Sguazzi (lista civica Uniti per Maleo) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°10′06″N 9°45′45″E
Altitudine,58 m s.l.m.
Superficie,"19,83 km²"
Abitanti,3 059[1] (30-11-2025)
Densità,"154,26 ab./km²"
Frazioni,Casenuove
Comuni confinanti,"Castelgerundo, Codogno, Corno Giovine, Cornovecchio, Pizzighettone (CR), San Fiorano, Santo Stefano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26847
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098035
Cod. catastale,E852
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,malerini
Patrono,santi Gervasio e Protasio
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Maleo,Maleo
Maleo – MappaPosizione del comune di Maleo nella provincia di Lodi,Maleo – MappaPosizione del comune di Maleo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
