Casalpusterlengo comune,Casalpusterlengo comune.1
,
Casalpusterlengo – VedutaPiazza del Popolo,Casalpusterlengo – VedutaPiazza del Popolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Elia Delmiglio (Lega) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°10′40″N 9°39′00″E
Altitudine,60 m s.l.m.
Superficie,"25,61 km²"
Abitanti,16 024[1] (30-11-2025)
Densità,"625,69 ab./km²"
Frazioni,"Vittadone, Zorlesco"
Comuni confinanti,"Brembio, Codogno, Ospedaletto Lodigiano, Secugnago, Somaglia, Terranova dei Passerini, Turano Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26841
Prefisso,0377
Fuso orario,UTC+1
Codice ISTAT,098010
Cod. catastale,B910
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,casalini o casalesi [4]
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Casalpusterlengo,Casalpusterlengo
Casalpusterlengo – MappaPosizione del comune di Casalpusterlengo nella provincia di Lodi,Casalpusterlengo – MappaPosizione del comune di Casalpusterlengo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
