Casaletto Lodigiano comune,Casaletto Lodigiano comune.1
,
Casaletto Lodigiano – VedutaVia Roma,Casaletto Lodigiano – VedutaVia Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Nathalie Sitzia (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°17′40″N 9°21′47″E
Altitudine,80 m s.l.m.
Superficie,"9,75 km²"
Abitanti,3 021[1] (30-11-2025)
Densità,"309,85 ab./km²"
Frazioni,"Gugnano, Mairano, Cascina Villarossa"
Comuni confinanti,"Bascapè (PV), Caselle Lurani, Cerro al Lambro (MI), Salerano sul Lambro, San Zenone al Lambro (MI)"
Altre informazioni,Altre informazioni
Cod. postale,26852
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098008
Cod. catastale,B887
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,casalettesi
Cartografia,Cartografia
Casaletto Lodigiano,Casaletto Lodigiano
Casaletto Lodigiano – MappaPosizione del comune di Casaletto Lodigiano nella provincia di Lodi,Casaletto Lodigiano – MappaPosizione del comune di Casaletto Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
