Sant'Angelo Lodigiano comune,Sant'Angelo Lodigiano comune.1
,
Sant'Angelo Lodigiano – VedutaPiazza Libertà,Sant'Angelo Lodigiano – VedutaPiazza Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Cristiano Devecchi (Lega-civiche) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°14′20″N 9°24′35″E
Altitudine,73 m s.l.m.
Superficie,"20,05 km²"
Abitanti,13 593[2] (30-11-2025)
Densità,"677,96 ab./km²"
Frazioni,"Cascina Belfiorito e Belfuggito, Domodossola, Galeotta, Maiano, Pedrinetta, Ranera"
Comuni confinanti,"Borgo San Giovanni, Castiraga Vidardo, Graffignana, Inverno e Monteleone (PV), Marudo, Miradolo Terme (PV), Pieve Fissiraga, Villanova del Sillaro, Villanterio (PV)"
Altre informazioni,Altre informazioni
Cod. postale,26866
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098050
Cod. catastale,I274
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 623 GG[4]"
Nome abitanti,barasini o santangiolini
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Sant'Angelo Lodigiano,Sant'Angelo Lodigiano
Sant'Angelo Lodigiano – MappaPosizione del comune di Sant'Angelo Lodigiano nella provincia di Lodi,Sant'Angelo Lodigiano – MappaPosizione del comune di Sant'Angelo Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
