Sordio comune,Sordio comune.1
,
Sordio – Veduta,Sordio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Salvatore Iesce (lista civica Sordio si può) dal 10-6-2018
Territorio,Territorio
Coordinate,45°20′35″N 9°21′54″E
Altitudine,85 m s.l.m.
Superficie,"2,82 km²"
Abitanti,3 453[1] (30-11-2025)
Densità,"1 224,47 ab./km²"
Comuni confinanti,"Casalmaiocco, San Zenone al Lambro (MI), Tavazzano con Villavesco, Vizzolo Predabissi (MI)"
Altre informazioni,Altre informazioni
Cod. postale,26858
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,098055
Cod. catastale,I848
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,sordiesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Sordio,Sordio
Sordio – MappaPosizione del comune di Sordio nella provincia di Lodi,Sordio – MappaPosizione del comune di Sordio nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
