Cornegliano Laudense comune,Cornegliano Laudense comune.1
,
Cornegliano Laudense – VedutaChiesa di San Callisto Papa e Martire,Cornegliano Laudense – VedutaChiesa di San Callisto Papa e Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Stefano Iachetti (Crescere Insieme - lista civica) dal 27-5-2024
Territorio,Territorio
Coordinate,45°17′14″N 9°29′20″E
Altitudine,78 m s.l.m.
Superficie,"5,7 km²"
Abitanti,2 863[1] (30-11-2025)
Densità,"502,28 ab./km²"
Frazioni,"Campolungo, Muzza Sant'Angelo (sede comunale)"
Comuni confinanti,"Lodi, Lodi Vecchio, Massalengo, Pieve Fissiraga, San Martino in Strada"
Altre informazioni,Altre informazioni
Cod. postale,26854
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098021
Cod. catastale,D021
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,corneglianesi
Patrono,santi Simone e Giuda
Giorno festivo,quarta domenica di ottobre
Cartografia,Cartografia
Cornegliano Laudense,Cornegliano Laudense
Cornegliano Laudense – MappaPosizione del comune di Cornegliano Laudense nella provincia di Lodi,Cornegliano Laudense – MappaPosizione del comune di Cornegliano Laudense nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
