Borghetto Lodigiano comune,Borghetto Lodigiano comune.1
,
"Borghetto Lodigiano – VedutaVista della Piazza Generale dalla Chiesa, con il Palazzo Rho e la chiesa parrocchiale","Borghetto Lodigiano – VedutaVista della Piazza Generale dalla Chiesa, con il Palazzo Rho e la chiesa parrocchiale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Giovanna Gargioni (Borghetto e le sue frazioni-Lega-FdI-civica) dal 26-5-2014 (3° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°12′57″N 9°30′01″E
Altitudine,68 m s.l.m.
Superficie,"23,64 km²"
Abitanti,4 425[1] (30-11-2025)
Densità,"187,18 ab./km²"
Frazioni,"Barazzina, Casoni, Fornaci, Panigada, Pantiara, Propio, Vigarolo, Monteguzzo"
Comuni confinanti,"Brembio, Graffignana, Livraga, Massalengo, Ossago Lodigiano, San Colombano al Lambro (MI), Villanova del Sillaro"
Altre informazioni,Altre informazioni
Cod. postale,26812
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098004
Cod. catastale,A995
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 578 GG[3]"
Nome abitanti,borghettini
Patrono,san Bartolomeo
Giorno festivo,24 agosto
PIL procapite,(nominale) 13.094 Euro (2011)
Cartografia,Cartografia
Borghetto Lodigiano,Borghetto Lodigiano
Borghetto Lodigiano – MappaPosizione del comune di Borghetto Lodigiano nella provincia di Lodi,Borghetto Lodigiano – MappaPosizione del comune di Borghetto Lodigiano nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
