Borgo San Giovanni comune,Borgo San Giovanni comune.1
,
Borgo San Giovanni – VedutaLa chiesa parrocchiale,Borgo San Giovanni – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Nicola Buonsante (lista civica di centro-destra) dal 16-5-2011
Territorio,Territorio
Coordinate,45°16′44″N 9°26′10″E
Altitudine,77 m s.l.m.
Superficie,"7,5 km²"
Abitanti,2 455[1] (30-11-2025)
Densità,"327,33 ab./km²"
Frazioni,"Cà dell'Acqua, Cascina Guazzina"
Comuni confinanti,"Castiraga Vidardo, Lodi Vecchio, Pieve Fissiraga, Salerano sul Lambro, Sant'Angelo Lodigiano"
Altre informazioni,Altre informazioni
Cod. postale,26851
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098005
Cod. catastale,B017
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,casimanini
Patrono,san Giovanni Decollato
Giorno festivo,1ª domenica di settembre
Cartografia,Cartografia
Borgo San Giovanni,Borgo San Giovanni
Borgo San Giovanni – MappaPosizione del comune di Borgo San Giovanni nella provincia di Lodi,Borgo San Giovanni – MappaPosizione del comune di Borgo San Giovanni nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
