Massalengo comune,Massalengo comune.1
,
Massalengo – Veduta,Massalengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Severino Serafini (lista civica Uniti in massa) dal 10-6-2018
Territorio,Territorio
Coordinate,45°15′57″N 9°29′28″E
Altitudine,76 m s.l.m.
Superficie,"8,48 km²"
Abitanti,4 466[1] (30-11-2025)
Densità,"526,65 ab./km²"
Frazioni,"Lanfroia, Motta Vigana"
Comuni confinanti,"Cornegliano Laudense, Ossago Lodigiano, Pieve Fissiraga, San Martino in Strada, Villanova del Sillaro"
Altre informazioni,Altre informazioni
Cod. postale,26815
Prefisso,0371
Fuso orario,UTC+1
Codice ISTAT,098037
Cod. catastale,F028
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 592 GG[3]"
Nome abitanti,massalenghini
Patrono,sant'Andrea
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Massalengo,Massalengo
Massalengo – MappaPosizione del comune di Massalengo nella provincia di Lodi,Massalengo – MappaPosizione del comune di Massalengo nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
