Provincia di Lodi provincia,Provincia di Lodi provincia.1
(dettagli),(dettagli)
"Provincia di Lodi – VedutaPalazzo San Cristoforo, sede della provincia","Provincia di Lodi – VedutaPalazzo San Cristoforo, sede della provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Lodi
Presidente,Fabrizio Santantonio (indipendente di centro-sinistra) dal 27-3-2022[1]
Data di istituzione,6 marzo 1992
Territorio,Territorio
Coordinate del capoluogo,45°19′N 9°30′E
Superficie,"782,99 km²"
Abitanti,231 367[2] (31-10-2025)
Densità,"295,49 ab./km²"
Comuni,60 comuni
Province confinanti,"Pavia, Cremona, Piacenza (Emilia-Romagna), Milano"
Altre informazioni,Altre informazioni
Cod. postale,"26900 (Lodi), 26811-26867 (provincia)"
Prefisso,"02, 0371, 0377"
Fuso orario,UTC+1
ISO 3166-2,IT-LO
Codice ISTAT,098
Targa,LO
Cartografia,Cartografia
Provincia di Lodi – Localizzazione,Provincia di Lodi – Localizzazione
Provincia di Lodi – MappaPosizione della provincia di Lodi all'interno della Lombardia.,Provincia di Lodi – MappaPosizione della provincia di Lodi all'interno della Lombardia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
