Zelo Buon Persico comune,Zelo Buon Persico comune.1
,
Zelo Buon Persico – VedutaVeduta,Zelo Buon Persico – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lodi
Amministrazione,Amministrazione
Sindaco,Angelo Madonini (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°24′48″N 9°26′01″E
Altitudine,95 m s.l.m.
Superficie,"18,88 km²"
Abitanti,7 430[1] (30-11-2025)
Densità,"393,54 ab./km²"
Frazioni,"Bisnate, Cascina Giussana, Cascina Molinetto, Casolate, Mignete, Molinazzo, Muzzano, Villa Pompeiana"
Comuni confinanti,"Boffalora d'Adda, Cervignano d'Adda, Galgagnano, Merlino, Mulazzano, Paullo (MI), Spino d'Adda (CR)"
Altre informazioni,Altre informazioni
Cod. postale,26839
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,098061
Cod. catastale,M158
Targa,LO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,zelaschi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Zelo Buon Persico,Zelo Buon Persico
Zelo Buon Persico – MappaPosizione del comune di Zelo Buon Persico nella provincia di Lodi,Zelo Buon Persico – MappaPosizione del comune di Zelo Buon Persico nella provincia di Lodi
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
