Verceia comune,Verceia comune.1
,
Verceia – VedutaVerceia e Lago di Mezzola,Verceia – VedutaVerceia e Lago di Mezzola
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Alessio Della Bitta (lista civica) dal 10-06-2024
Data di istituzione,da Novate nel 1770
Territorio,Territorio
Coordinate,46°12′N 9°27′E
Altitudine,200 m s.l.m.
Superficie,"11,38 km²"
Abitanti,1 092[1] (30-11-2025)
Densità,"95,96 ab./km²"
Comuni confinanti,"Dubino, Novate Mezzola, Sorico (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014075
Cod. catastale,L749
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 354 GG[3]"
Nome abitanti,verceiesi
Cartografia,Cartografia
Verceia,Verceia
Verceia – MappaPosizione del comune di Verceia nella provincia di Sondrio,Verceia – MappaPosizione del comune di Verceia nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
