Tirano comune,Tirano comune.1
,
Tirano – Veduta,Tirano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Stefania Mariagrazia Stoppani (lista civica Officina Tirano) dal 10-6-2024
Territorio,Territorio
Coordinate,46°12′59″N 10°10′08″E
Altitudine,440 m s.l.m.
Superficie,"32,37 km²"
Abitanti,8 850[1] (30-11-2025)
Densità,"273,4 ab./km²"
Frazioni,"Baruffini, Cologna, Madonna, Roncaiola[2]"
Comuni confinanti,"Brusio (CH-GR), Corteno Golgi (BS), Sernio, Vervio, Villa di Tirano"
Altre informazioni,Altre informazioni
Cod. postale,23037
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014066
Cod. catastale,L175
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 696 GG[4]"
Nome abitanti,tiranesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Tirano,Tirano
Tirano – MappaPosizione del comune di Tirano nella provincia di Sondrio,Tirano – MappaPosizione del comune di Tirano nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
