Buglio in Monte comune,Buglio in Monte comune.1
,
Buglio in Monte – Veduta,Buglio in Monte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Antonio Cristian Azzalini (lista civica Siamo Buglio) dal 9-6-2024
Territorio,Territorio
Coordinate,46°11′N 9°41′E
Altitudine,577 m s.l.m.
Superficie,"27,71 km²"
Abitanti,2 057[1] (30-11-2025)
Densità,"74,23 ab./km²"
Frazioni,"Villapinta, Bugo, Ronco, Ere"
Comuni confinanti,"Ardenno, Berbenno di Valtellina, Chiesa in Valmalenco, Colorina, Forcola, Torre di Santa Maria, Val Masino"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014010
Cod. catastale,B255
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 047 GG[3]"
Nome abitanti,bugliesi
Patrono,"san Fedele, Madonna delle Grazie"
Cartografia,Cartografia
Buglio in Monte,Buglio in Monte
Buglio in Monte – MappaPosizione del comune di Buglio in Monte nella provincia di Sondrio,Buglio in Monte – MappaPosizione del comune di Buglio in Monte nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
