Gordona comune,Gordona comune.1
,
Gordona – Veduta,Gordona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Mario Guglielmana (lista civica Gordona nel cuore) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°17′N 9°22′E
Altitudine,283 m s.l.m.
Superficie,"62,79 km²"
Abitanti,1 959[1] (30-11-2025)
Densità,"31,2 ab./km²"
Frazioni,"Barzena, Bedolina, Bodengo, Bruciata, Cermine, Coloredo, Corte Terza, Menarola, Monte Garzelli, Prato Pinceè"
Comuni confinanti,"Cama (CH-GR), Livo (CO), Lostallo (CH-GR), Mese, Prata Camportaccio, Samolaco, San Giacomo Filippo, Soazza (CH-GR), Grono (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014032
Cod. catastale,E090
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,gordonesi
Cartografia,Cartografia
Gordona,Gordona
Gordona – MappaPosizione del comune di Gordona nella provincia di Sondrio,Gordona – MappaPosizione del comune di Gordona nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
