Cosio Valtellino comune,Cosio Valtellino comune.1
,
Cosio Valtellino – Veduta,Cosio Valtellino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Giorgio De Giobbi (lista civica Cosio V. per tutti) dal 14-5-2023
Territorio,Territorio
Coordinate,46°08′N 9°32′E
Altitudine,231 m s.l.m.
Superficie,"23,99 km²"
Abitanti,5 584[1] (30-11-2025)
Densità,"232,76 ab./km²"
Frazioni,"Sacco, Cosio, Mellarolo, Piagno, Regoledo, Bolgia. Località:Consolia, Dossa, Canleggia, Piantina, Garzate, Terreni, La Corte, Tagliate di sotto e di sopra, Ronchi, Alpe Tagliata"
Comuni confinanti,"Bema, Cercino, Mantello, Morbegno, Rasura, Rogolo, Traona"
Altre informazioni,Altre informazioni
Cod. postale,23013
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014024
Cod. catastale,D088
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 013 GG[3]"
Nome abitanti,cosiesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Cosio Valtellino,Cosio Valtellino
Cosio Valtellino – MappaPosizione del comune di Cosio Valtellino nella provincia di Sondrio,Cosio Valtellino – MappaPosizione del comune di Cosio Valtellino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
