Fusine comune,Fusine comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Monica Taschetti (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°08′56.55″N 9°44′56.75″E
Altitudine,285 m s.l.m.
Superficie,37 km²
Abitanti,547[1] (30-11-2025)
Densità,"14,78 ab./km²"
Comuni confinanti,"Berbenno di Valtellina, Cedrasco, Colorina, Foppolo (BG), Forcola, Postalesio, Tartano"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014030
Cod. catastale,D830
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 064 GG[3]"
Nome abitanti,fusinesi
Cartografia,Cartografia
Fusine,Fusine
Fusine – MappaPosizione del comune di Fusine nella provincia di Sondrio,Fusine – MappaPosizione del comune di Fusine nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
