Grosio comune,Grosio comune.1
,
Grosio – Veduta,Grosio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Gian Antonio Pini (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°18′N 10°17′E
Altitudine,656 m s.l.m.
Superficie,"126,92[1] km²"
Abitanti,4 241[2] (30-11-2025)
Densità,"33,41 ab./km²"
Frazioni,"Tiolo, Vernuga e Ravoledo[3]"
Comuni confinanti,"Grosotto, Monno (BS), Poschiavo (CH-GR), Sondalo, Valdidentro, Valdisotto, Vezza d'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,23033
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014033
Cod. catastale,E200
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 001 GG[5]"
Nome abitanti,grosini
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Grosio,Grosio
Grosio – MappaPosizione del comune di Grosio nella provincia di Sondrio,Grosio – MappaPosizione del comune di Grosio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
