Grosotto comune,Grosotto comune.1
,
Grosotto – Veduta,Grosotto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Antonio Sala Della cuna (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°17′N 10°16′E
Altitudine,600 m s.l.m.
Superficie,"53,12 km²"
Abitanti,1 645[1] (30-11-2025)
Densità,"30,97 ab./km²"
Frazioni,"Cà Modest, Piazza, Prada, Roncale, San Martino, San Sebastiano (contrade caratteristiche secondo lo Statuto comunale);[2] Alpe Piana, Dovére, frazioni in alpeggio."
Comuni confinanti,"Brusio (CH-GR), Grosio, Mazzo di Valtellina, Monno (BS), Poschiavo (CH-GR), Vervio"
Altre informazioni,Altre informazioni
Cod. postale,23034
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014034
Cod. catastale,E201
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 054 GG[4]"
Nome abitanti,Grosottini
Patrono,Sant'Eusebio
Cartografia,Cartografia
Grosotto,Grosotto
Grosotto – MappaPosizione del comune di Grosotto nella provincia di Sondrio,Grosotto – MappaPosizione del comune di Grosotto nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
