Montagna in Valtellina comune,Montagna in Valtellina comune.1
,
Montagna in Valtellina – Veduta,Montagna in Valtellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Roberto Menegola (lista civica Menegola per Montagna) dal 9-6-2024
Territorio,Territorio
Coordinate,46°11′N 9°54′E
Altitudine,567 m s.l.m.
Superficie,"44,97 km²"
Abitanti,2 957[1] (30-11-2025)
Densità,"65,75 ab./km²"
Comuni confinanti,"Piateda, Poggiridenti, Ponte in Valtellina, Sondrio, Spriana, Torre di Santa Maria, Tresivio, Chiuro, Lanzada, Faedo Valtellino, Caspoggio"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014044
Cod. catastale,F393
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 041 GG[3]"
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Montagna in Valtellina,Montagna in Valtellina
Montagna in Valtellina – MappaPosizione del comune di Montagna in Valtellina nella provincia di Sondrio,Montagna in Valtellina – MappaPosizione del comune di Montagna in Valtellina nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
