Postalesio comune,Postalesio comune.1
,
Postalesio – Veduta,Postalesio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Federico Bonini (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′N 9°47′E
Altitudine,516 m s.l.m.
Superficie,"10,58 km²"
Abitanti,652[1] (30-11-2025)
Densità,"61,63 ab./km²"
Frazioni,"Spinedi, Ca Spinedi - Ca San Giorgio"
Comuni confinanti,"Berbenno di Valtellina, Caiolo, Castione Andevenno, Cedrasco, Fusine, Torre di Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014053
Cod. catastale,G937
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 011 GG[3]"
Nome abitanti,postalesini
Patrono,sant'Antonio abate
Giorno festivo,13 gennaio
Cartografia,Cartografia
Postalesio,Postalesio
Postalesio – MappaPosizione del comune di Postalesio nella provincia di Sondrio,Postalesio – MappaPosizione del comune di Postalesio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
